-75IwDlkzDQ, 30.000, 40.000, "/m/01h82_,/m/02mk9"
-kRxowDMwdQ, 80.000, 90.000, "/m/01h82_,/m/02mk9,/m/04_sv,/m/07yv9"
0DSVOjk2NfA, 30.000, 40.000, "/m/01h82_"
1f6pK2x8T1s, 30.000, 40.000, "/m/01h82_,/m/09x0r"
4sbD8vATQSc, 30.000, 40.000, "/m/01h82_,/m/02mk9"
514PCREZ8TI, 12.000, 22.000, "/m/01h82_"
5nyaSMbAx3I, 40.000, 50.000, "/m/01h82_,/m/02mk9"
7E--KkWuiR0, 0.000, 10.000, "/m/01h82_,/m/02mk9"
96zsAM96ywU, 40.000, 50.000, "/m/01h82_"
Ah304Vt9l9U, 0.000, 10.000, "/m/01h82_,/m/02mk9,/m/07pb8fc"
BtkN3c-m4rE, 30.000, 40.000, "/m/01h82_"
CBX4Kl8ibRM, 30.000, 40.000, "/m/01h82_,/m/01jwx6"
CmTBVTlArrI, 30.000, 40.000, "/m/01h82_,/m/02mk9,/m/07yv9"
DDxHVy-Ipao, 0.000, 10.000, "/m/01h82_,/m/03p19w"
EV68EeWYMLE, 30.000, 40.000, "/m/01h82_"
FSMe8NjERdM, 30.000, 40.000, "/m/01h82_,/m/01jwx6"
GI7SIuqRPhE, 30.000, 40.000, "/m/01h82_"
H1_goqYytHU, 30.000, 40.000, "/m/01h82_"
IcWvLFL1SCc, 30.000, 40.000, "/m/01h82_"
JIOdS7XbHys, 30.000, 40.000, "/m/01h82_,/m/02mk9,/m/07pb8fc,/m/09x0r"
MBWwU5fP1Ws, 30.000, 40.000, "/m/01h82_"
MsBB8ajopRg, 30.000, 40.000, "/m/01h82_"
NTSEuO7jvl4, 26.000, 36.000, "/m/01h82_,/m/02mk9,/m/07yv9"
O4nx1_JhAUE, 30.000, 40.000, "/m/01h82_"
PrdMpLPUu3c, 70.000, 80.000, "/m/01h82_"
Pu7_jfDpeoU, 30.000, 40.000, "/m/012f08,/m/01h82_,/m/02mk9,/m/07yv9,/m/0k4j"
R0ZNBQ6_htQ, 30.000, 40.000, "/m/01h82_"
TaoySiaI-zQ, 25.000, 35.000, "/m/01h82_"
XvKrLLfToV0, 30.000, 40.000, "/m/01h82_"
YX94Twfsi78, 18.000, 28.000, "/m/01h82_"
YxpZFn8EojQ, 30.000, 40.000, "/m/01h82_,/m/01jwx6,/m/02mk9,/m/07yv9"
_O8qSw4dxII, 19.000, 29.000, "/m/01h82_"
_gYLw_iXfpI, 30.000, 40.000, "/m/01h82_"
bQV7q5VRaH0, 170.000, 180.000, "/m/012f08,/m/01h82_,/m/02mk9,/m/07yv9,/m/0k4j"
brgQVwvmlzU, 30.000, 40.000, "/m/01h82_,/m/09x0r"
di8GWxedDIE, 30.000, 40.000, "/m/01h82_"
e4fDxck6HhQ, 110.000, 120.000, "/m/01h82_"
fULqRAn41Gk, 30.000, 40.000, "/m/01h82_"
fhB7dSUxcQI, 30.000, 40.000, "/m/01h82_,/m/07s02z0"
fmXZ2zxNK70, 30.000, 40.000, "/m/01h82_,/m/01yg9g"
h1xGnaqiU1I, 80.000, 90.000, "/m/01h82_,/m/02mk9,/m/04229"
hBLotV-d_gQ, 30.000, 40.000, "/m/01h82_,/m/01j4z9,/m/01jwx6,/m/02mk9,/m/07k1x,/m/07pb8fc,/m/07yv9,/m/0_ksk"
hWCvuxTPs_8, 6.000, 16.000, "/m/01h82_,/m/02mk9,/m/07yv9"
iZcPr3wgJCw, 30.000, 40.000, "/m/01h82_"
ilr1YPqmEyM, 110.000, 120.000, "/m/01h82_"
jJ8Tpm1E33A, 30.000, 40.000, "/m/01h82_,/m/07pb8fc,/m/07yv9"
jiX01Mfs56g, 10.000, 20.000, "/m/01h82_,/m/02mk9,/m/07q2z82"
l3ARyo7yFzo, 30.000, 40.000, "/m/01h82_"
nLEv1Ww9dEo, 30.000, 40.000, "/m/01h82_"
oSbyAbS6e2c, 30.000, 40.000, "/m/01h82_,/m/01jwx6,/m/02mk9,/m/07q2z82,/m/09x0r"
ob8GlVyVSXc, 0.000, 10.000, "/m/01h82_,/m/02mk9"
qvOP_q727u0, 30.000, 40.000, "/m/01h82_"
qyNPOCSy0ek, 30.000, 40.000, "/m/01h82_,/m/09x0r"
rnsUsSspxAg, 70.000, 80.000, "/m/01h82_,/m/01jwx6,/m/01yg9g,/m/02mk9"
urcN6jbEnTI, 0.000, 10.000, "/m/01h82_,/m/02mk9"
vPWthAczEa0, 30.000, 40.000, "/m/01h82_,/m/09x0r"
wUsT87ZtI50, 30.000, 40.000, "/m/01h82_"
wf8e_Ivi72Q, 30.000, 40.000, "/m/01h82_,/m/02mk9,/m/09x0r"
xcgW4BBreqI, 30.000, 40.000, "/m/01h82_,/m/02mk9"
yfYJqHka-Ec, 30.000, 40.000, "/m/01h82_,/m/07q2z82,/m/07yv9"
